#,Name,MLBAMID,RazzballID,FanGraphsID,NFBCID,FantraxID,Team,STD_POS,YAHOO_POS,Last,First,Lastv2,Firstv2,YahooName
1,Cory Rasmus,474284,2413,,8492,,TB,P,P,Rasmus,Cory,Rasmus,Cory,Cory Rasmus
2,Kenley Jansen,445276,3096,3096,7931,*01svz*,DET,RP,RP,Jansen,Kenley,Jansen,Kenley,Kenley Jansen
3,Giancarlo Stanton,519317,4949,4949,7789,*01cdf*,NYY,OF,OF,Stanton,Giancarlo,Stanton,Giancarlo,Giancarlo Stanton
4,Freddie Freeman,518692,5361,5361,7793,*01cgo*,LAD,1B,1B,Freeman,Freddie,Freeman,Freddie,Freddie Freeman
5,Jose Altuve,514888,5417,5417,8116,*024m0*,HOU,2B/OF,2B/OF,Altuve,Jose,Altuve,Jose,Jose Altuve
6,Kyle Higashioka,543309,5517,5517,9470,*01usr*,TEX,C,C,Higashioka,Kyle,Higashioka,Kyle,Kyle Higashioka
7,Wilmer Flores,527038,5827,5827,7538,*01cgt*,FA,1B,1B,Flores,Wilmer,,,
8,Leury Garcia,544725,5913,,8440,,ATL,2B,2B,Garcia,Leury,Garcia,Leury,Leury García
9,Carlos Carrasco,471911,6632,6632,7183,*01as6*,ATL,SP,SP,Carrasco,Carlos,Carrasco,Carlos,Carlos Carrasco
10,Salvador Perez,521692,7304,7304,8134,*01u75*,KC,C/1B,C/1B,Perez,Salvador,Perez,Salvador,Salvador Perez
11,Evan Scribner,519267,7525,,8055,,TB,P,P,Scribner,Evan,Scribner,Evan,Evan Scribner
12,Travis d’Arnaud,518595,7739,7739,8211,*01s99*,LAA,C,C,d’Arnaud,Travis,d’Arnaud,Travis,Travis d’Arnaud
13,Miguel Rojas,500743,7802,7802,8807,*01t5w*,LAD,2B/SS/ 3B,2B/SS/ 3B,Rojas,Miguel,Rojas,Miguel,Miguel Rojas
14,Kirby Yates,489446,9073,9073,8808,*030vs*,LAA,RP,RP,Yates,Kirby,Yates,Kirby,Kirby Yates
15,Nathan Eovaldi,543135,9132,9132,8130,*01ut7*,TEX,SP,SP,Eovaldi,Nathan,Eovaldi,Nathan,Nathan Eovaldi
16,Nolan Arenado,571448,9777,9777,8223,*01sy3*,STL,3B,3B,Arenado,Nolan,Arenado,Nolan,Nolan Arenado
17,Christian Bethancourt,542194,10028,10028,8615,*01sci*,CHC,C,C,Bethancourt,Christian,Bethancourt,Christian,Christian Bethancourt
18,Mike Trout,545361,10155,10155,7689,*01s8u*,LAA,OF,OF,Trout,Mike,Trout,Mike,Mike Trout
19,Billy Hamilton,571740,10199,,8229,,CHC,OF,OF,Hamilton,Billy,Hamilton,Billy,Billy Hamilton
20,Tucker Barnhart,571466,10200,10200,8747,*022vw*,FA,C,C,Barnhart,Tucker,Barnhart,Tucker,Tucker Barnhart
21,Aroldis Chapman,547973,10233,10233,7709,*01gya*,BOS,RP,RP,Chapman,Aroldis,Chapman,Aroldis,Aroldis Chapman
22,Randal Grichuk,545341,10243,10243,8773,*01s9c*,FA,OF,OF,Grichuk,Randal,,,
23,Zack Wheeler,554430,10310,10310,8235,*01sb3*,PHI,SP,SP,Wheeler,Zack,Wheeler,Zack,Zack Wheeler
24,Michael Tonkin,543859,10315,10315,8541,*02oyz*,MIN,RP,RP,Tonkin,Michael,Tonkin,Michael,Michael Tonkin
