Name,MLBID,FGID,FGSlug
a.j. alexy,669935,22343,aj-alexy
a.j. blubaugh,805123,31764,aj-blubaugh
a.j. causey,822067,sa3028661,aj-causey
a.j. ewing,805999,sa3022963,aj-ewing
a.j. minter,621345,18655,aj-minter
a.j. puk,640462,19343,aj-puk
a.j. vukovich,691021,,aj-vukovich
aaron antonini,689577,,aaron-antonini
aaron ashby,676879,23550,aaron-ashby
aaron brooks,605156,12272,aaron-brooks
aaron bummer,607481,16258,aaron-bummer
aaron civale,650644,19479,aaron-civale
aaron combs,694551,,aaron-combs
aaron graeber,806016,,aaron-graeber
aaron hicks,543305,5297,aaron-hicks
aaron holiday,701569,,aaron-holiday
aaron judge,592450,15640,aaron-judge
aaron munson,815317,,aaron-munson
aaron nixon,691004,,aaron-nixon
aaron nola,605400,16149,aaron-nola
aaron parker,801590,,aaron-parker
aaron pinero,821775,,aaron-pinero
aaron sabato,693306,,aaron-sabato
aaron sanchez,592717,11490,aaron-sanchez
aaron savary,808860,,aaron-savary
aaron schunk,668845,,aaron-schunk
aaron walton,830239,sa3044756,aaron-walton
aaron watson,826209,MISSING,aaron-watson
aaron wilkerson,658792,16904,aaron-wilkerson
aaron zavala,701648,sa3017665,aaron-zavala
abdias de la cruz,703192,,abdias-de-la-cruz
abdiel mendoza,665959,,abdiel-mendoza
abel lorenzo,806867,,abel-lorenzo
abel mercedes,701951,,abel-mercedes
abimelec ortiz,694673,sa3016926,abimelec-ortiz
abner uribe,682842,25327,abner-uribe
abraham bastidas,832705,,abraham-bastidas
abraham hernandez,820949,,abraham-hernandez
abraham nunez,808041,,abraham-nunez
abraham parra,811600,,abraham-parra
abraham toro,647351,19844,abraham-toro
abrahan milan,827669,,abrahan-milan
abrahan ramirez,800254,,abrahan-ramirez
accimias morales,703193,,accimias-morales
adael amador,691182,27962,adael-amador
adam bates,806724,,adam-bates
adam boucher,694780,,adam-boucher
adam cimber,643256,15288,adam-cimber
adam duvall,594807,10950,adam-duvall
adam fogel,687148,,adam-fogel
adam frazier,624428,15223,adam-frazier
